标题,星级,内容,标签
almost perfect 1,5,"Flew 4 segments (TLV-HKG-PER 12-13/1/17 + MEL-HKG-TLV 8-9/11/217), mostly with 35-9 planes. Spotless service in flight even though upon return (HKG-TLV) a little bit disorganized during both meals. Toilette could have used better tidiness and improved dimensions as it is rather very small cell. Food quality and booths perfect. Service crew smiley and sympathetic. All segments departed and arrived ahead...",International' 'Business Class' 'Melbourne - Tel Aviv
Very comfortable,5,Cathay Pacific seem to do hospitality very well. Have always been impressed with the lack of fuss and calm approach.,International' 'Economy' 'London - Hong Kong
"For International Flights To The Far East, Don't Pass This One Up!",5,"I fly with Cathay Pacific often. Returning with my business associate November 1st, 217 from Bangkok, Thailand, we missed our connecting flight in the States from Los Angeles. Not a problem with Cathay Pacific, they gave us a $2. dinner voucher each and business class non-stop tickets to Spokane International that left a few hours later.",International' 'Premium Economy' 'Los Angeles - Bangkok
"Good legroom, in-flight entertainment was good except for poor quality headphones.",3,"Had a good enough experience with Cathay Pacific not it's affiliate airline Cathay Dragon to give it 4 stars, good legroom, in flight entertainment was good except for headphones, food and beverage was ok as well so not a lot to say about this airlines other than please take your own headphones other than using the one in the plane.",International' 'Economy' 'London - Hong Kong
Are we biased?,4,"Service for check-in luggage at HK Air Express Terminal was good, efficient and the staff was courteous and friendly. I and my wife enjoyed the entire 3 hours+ flight. Food offered was satisfactory though couldn't say it was good. Front line air attendants were working hard and their performances were ok. The only draw-up was on-line checking, both in HK...",Southeast Asia' 'Economy' 'Hong Kong - Singapore
"Frigid aircraft interior cabin temperature, multiple CX flights",2,"In October and November of 217, a few of the recent flights were on CX from Hong Kong to (1) Perth-Australia and (2) London-Heathrow.
When the airplane is at 35, feet or higher, the outside air temperature is -4C or colder. Various CX personnel have repeatedly stated the aircraft interior cabin temperature range is maintained between +2-24C, which is a...",International' 'Economy' 'Hong Kong - London
Please Don't try,1,"We travelled From Bangalore to Hongkong on 23rd November
Friends I sincerely suggest you please don't ever try this flight please choose another carriers .
As per my knowledge this flight maybe very older and poor technology it doesn't meet any International Standards Supporting staff are very arrogant legroom and seating is pathetic Air conditions are very poor, food served...",Asia' 'Economy' 'Bengaluru - Hong Kong
Best service ever!,5,"As an avid international flyer, this was our first time on Cathay Pacific and I can say it should be rated as one of the number one airlines. It was definitely number one of the many airlines and sky lounges we have used. Service and food as well as amenities were so good that we wanted flight time to be...",North Asia' 'First Class' 'Hong Kong - Beijing
Good Legroom for a cheap price!,4,"Cathay Pacific offers the cheapest rate from Dubai to Bahrain. It's the most cost effective option if you're not concerned about the time of the flight which is always early morning.
Good legroom in the economy class. The food needs some attention as the juice is always warm, and the peanuts always tastes like plastic peanuts.",Middle East' 'Economy' 'Dubai - Bahrain
"The more you fly Cathay, the more headaches you will have",2,"I was on Cathay’s flight CX734 flight from Singapore to Hong Kong on 8th of November. It was scheduled arrival Hong Kong at 8:25pm and I was scheduled for Macau ferry at 9: pm. Unfortunately, we were wait for boarding in Singapore for 4 minutes until 4:3pm (original boarding time was 3:5 pm). We arrived in Hong Kong around 9:...",Asia' 'Business Class' 'Singapore - Hong Kong
awsome again,5,Kelly. And her staff. Exhale the As always as a 15 hour flight. Excellent makes the flight go buy much better,International' 'Economy' 'Vancouver - Hong Kong
First flight to China,4,My first flight to China for business was booked by a vendor hosting my business trip. I flew business class on Cathay Pacific from SFO to HKG in October 217. Departure flight # CX 873. The check-in process was very easy with bag drop off and check-in at the airport smooth and literally no wait time to be attended by...,International' 'Business Class' 'San Francisco - Hong Kong
Excellent long haul service,5,Cathay Pacific has always provided the best service at competitive prices. We have also used Dragonair Z(A Cathay company) while flying in Asia,International' 'Premium Economy' 'Chicago - Hong Kong
First class,4,Took the 777-3ER. Seats were comfortable and spacious but a wee bit uncomfortable in bed mode. Entertainment channels were not as extensive as SQ's but service was very good. I liked how carry on luggage is stored by the side and not overhead. Food was decent but not a fair comparison as it was breakfast.,Southeast Asia' 'First Class' 'Hong Kong - Singapore
"Great over night flight, well looked after",5,"The aircraft was comfortable, the cabin crew were kind and attentive, the flight deck gave us a smooth flight and pre-warned when turbulence was likely early in the flight. We got the best sleep - 5 hours - that we have ever had on a long haul flight and the food was very tasty. Well done Cathy Pacific.",International' 'Economy' 'Shanghai - Manchester
Good airline and good price,5,Normally i travelled with another Asian airline but the price is a lot higher. I found this airline thru Expedia and only half price for what I use to pay for. The check in at west palm from JetBlue was good but when I got to jfk airport a little confuse. I need to take a train to go another...,International' 'Economy' 'West Palm Beach - Chiang Mai
Great start to our trip,5,"I was nervous about such a long flight in economy but the Cathay premium economy cabin was very comfortable and service was excellent. Arrived in Hong Kong ready for the next leg of the journey to Melbourne suitably refreshed and relaxed, excellent",International' 'Premium Economy' 'London - Hong Kong
